date,narration_started,narration_completed,narration_abandoned,completion_rate
2026-07-26,2,1,1,0.500
2026-07-30,1,0,1,0.000
2026-08-02,1,0,1,0.000
2026-08-05,0,0,1,
2026-08-06,2,0,2,0.000
2026-08-07,2,1,1,0.500
2026-08-08,1,0,1,0.000
2026-08-09,3,3,0,1.000
